start,end,id_pdc_itinerance,energy,numero_de_pdl
2025-10-01 00:05:04+00:00,2025-10-01 00:22:36+00:00,FRIZFEFAST50213,16928,50033215316046
2025-10-01 00:08:36+00:00,2025-10-01 01:00:28+00:00,FRM06ENICE12121,32997,25443437
2025-10-01 00:09:59.654000+00:00,2025-10-01 00:20:41.117000+00:00,FRSIGESIGE24211,4065,21474095380932
2025-10-01 00:36:37+00:00,2025-10-01 01:22:46+00:00,FRIZFEFAST60013,45112,50088928842518
2025-10-01 00:48:52+00:00,2025-10-01 01:40:09+00:00,FRIZFEFAST71913,44980,60004750004096
2025-10-01 00:49:01+00:00,2025-10-01 01:24:51+00:00,FRIZFEFAST72211,32519,50073300626309
2025-10-01 01:35:48+00:00,2025-10-01 02:11:59+00:00,FRIZFEFAST70911,32477,50001954388625
2025-10-01 01:40:36.979000+00:00,2025-10-01 01:40:40.561000+00:00,FRSIGESIGE44411,3,50000659743580
2025-10-01 01:40:47+00:00,2025-10-01 01:59:53+00:00,FRIZFEFAST35211,20117,50072146690150
2025-10-01 01:40:47+00:00,2025-10-01 01:59:53+00:00,FRIZFEFAST35211,20117,50072146690150
